Customer_ID,Peak_mins,OffPeak_mins,Weekend_mins,International_mins,Total_mins,Average_mins
K100050,40.608449,18.823708,1.233764,4.473546,60.665921,1.290764
K100120,68.123038,33.880341,8.334201,13.423558,110.33758,1.071239
K100170,100.2,31.499999,9,4.858905,140.699999,1.675
K100390,55.8,18,19.2,5.621558,93,3.444444
K100450,58.631372,9.089143,11.308088,5.061164,79.028603,2.25796
K100600,46.685767,3.203925,22.198623,22.647881,72.088315,2.184494
K100610,35.789695,17.79259,1.227075,6.858488,54.80936,6.85117
K100620,66,36,24.6,14.229012,126.6,3.331579
K100710,69.6,24.3,33,13.05501,126.9,3.625714
K100800,37.351351,11.158422,27.015126,15.862735,75.524899,0.699305
K100820,39.117906,26.845623,50.623173,0.23718,116.586702,1.514113
K101070,30.086195,39.61349,3.008619,0.569695,72.708304,2.019675
K101160,24.998623,25.219849,8.627842,18.502476,58.846314,1.014592
K101230,48.209829,42.101051,10.45647,1.000631,100.76735,1.199611
K101260,53.400001,95.100001,21,13.321839,169.500002,2.421429
K101330,23.428029,19.236777,19.70247,13.308957,62.367276,1.299318
K101350,35.929578,18.481762,20.420409,10.127406,74.831749,0.740908
K101390,60.599999,65.400001,12,9.902417,138,1.890411
K101450,61.200001,42.3,54,51.058228,157.500001,3.662791
K101470,43.799999,45.6,27,36.104995,116.399999,2.328
K101510,47.715314,39.597083,16.23646,10.894672,103.548857,1.418477
K101540,37.8,120.900001,13,20.261166,171.700001,3.902273
K101650,44.4,75.6,21.6,13.63751,141.6,2.528571
K102270,115.8,18.6,16.5,48.996102,150.9,11.607692
K102480,72.6,66,14.4,40.012019,153,2.833333
K102590,52.199999,79.500001,8.4,10.539898,140.1,5.604
K102690,319.200001,204.900001,63,193.477119,587.100002,1.731858
K102700,691.2,216.9,22.8,254.2084,930.9,1.892073
K102810,654,159.900002,70.799999,212.608258,884.700001,2.245431
K103010,431.4,200.4,136,234.993851,767.8,2.075135
K103130,529.8,288.3,77.400001,282.4382,895.500001,2.049199
K103170,409.8,336.3,42,240.357392,788.1,3.1524
K103200,628.8,165.3,8.5,186.67045,802.6,1.787528
K103240,556.8,87.600002,24.600002,199.135657,669.000004,2.283276
K103270,755.399999,101.700001,71.399999,276.042225,928.499999,1.785577
K103320,709.8,132.600001,15,222.376334,857.400001,1.808861
K103530,436.199999,368.1,44.400001,205.247709,848.7,1.616571
K103720,508.2,147.600001,24.6,198.84947,680.400001,1.586014
K103770,690.600001,155.100001,18.600001,213.303188,864.300003,1.887118
K103820,330,231.900001,42,192.791099,603.900001,3.573373
K104050,599.4,250.5,50.4,237.746534,900.3,2.256391
K104640,728.399998,171.3,28.800001,208.294057,928.499999,2.399225
K104700,742.2,161.1,30.6,290.495428,933.9,2.146897
K104820,622.800001,205.800001,52.800001,212.116807,881.400003,2.363003
K104900,424.2,303.599999,54.599999,243.764143,782.399998,2.126087
K104990,588.6,198.9,19,250.274182,806.5,1.76477
K105150,587.400001,235.200001,18.599999,275.427217,841.200001,2.389773
K105170,589.8,141.6,112.2,264.081023,843.6,1.854066
K105190,526.199999,197.399999,26.5,181.560963,750.099998,1.712557
K105240,594,126,47.4,188.492053,767.4,2.760432
K105540,367.8,318.6,17.5,229.288331,703.9,2.957563
K105570,445.8,183.600001,55.2,193.816368,684.600001,3.528866
K105610,549.6,237,92.4,280.56213,879,1.8742
K105710,547.200001,301.500001,12,224.280854,860.700002,3.10722
K105740,583.799999,267.299999,66,226.010364,917.099998,3.140753
K106340,516.600001,380.7,95.5,218.669079,992.800001,2.298148
K106510,476.4,273.6,64.199999,231.827697,814.199999,4.875449
K106530,413.4,225.3,106,182.578885,744.7,6.054472
K106540,692.4,39,73.500001,243.260003,804.900001,5.918382
K106590,620.400001,214.2,56.4,248.947604,891.000001,2.930921
K106720,577.799999,95.1,189,243.881618,861.899999,4.609091
K106730,400.2,255.3,34.2,218.147436,689.7,3.222897
K106960,501.600001,334.799999,42,251.478357,878.4,3.886726
