标题,时间,来源,内容
江西一村庄突发地陷 10幢民房开裂,2014/12/31 9:36,北京青年报, 村民紧急撤离开裂房屋12月29日晚，江西省宜春市袁州区寨下镇马南方村马上组突发地陷，一幢民房的墙根下出现一个深约5米、面积约3平方米的地洞，造成周边10幢房屋出现不同程度的裂缝，部分房门变形、玻璃碎裂。目前，宜春市、袁州区及寨下镇已采取措施进行处置，转移安置群众。据袁州区国土资源局相关人员介绍，当地地处喀斯特地貌区域，从目前的塌陷情况看，可能是因为近期少雨诱发地下溶洞塌陷，导致出现地陷，国土资源部门正在密切监测马上组的地陷险情。地陷原因还在调查中。文并图/东方IC 
评论:当艾滋病成为一种“武器”,2014/12/31 9:36,北京青年报, 河南南阳的艾滋病拆迁队引发全国关注，涉事的5名主要嫌疑人已被警方控制。对艾滋病拆迁队进行调查时，艾滋病病人说，“我们是艾滋病人，我们也要吃饭。”在一个艾滋病多多少少受到歧视的环境下，竟然有人公开承认自己是艾滋病，而且高调地广而告之，当然是有目的的，这个目的就是要吃饭。艾滋病不只是这几个艾滋病病人的吃饭武器，而且也是当地开发商和地方政府吃饭的武器，因为这种武器可以轻而易举地吓走待拆迁地的居民，能让开发商和相关利益者获得巨大利润。艾滋病作为武器在现实中还真的好使，因为艾滋病拆迁队一来，很多住户就赶紧走了，因为他们怕出事。不过，真正了解了艾滋病，无论其在理论上作为一种武器还是武器的使用，都未必会有那么灵验。大部分人都应该知道艾滋病的主要传播途径是三种，“母婴传播”、“血液传播”和“性传播”，不过，还是有人借助这其中的一种来大做文章，而且早就在艾滋病拆迁队之前当作武器来使用了。例如，过去时不时有人声称用沾有艾滋病病人的血液向他人扎针来传播艾滋病，实际上是一些犯罪分子把艾滋病当作武器，以恐吓公众实施抢劫等犯罪，所谓针上的艾滋病病人的血液不过是红药水或红色颜料水。那么，实际生活中沾染了艾滋病病人的血液或者说即便沾染了艾滋病病人的血液是否就会染上艾滋病呢？北京地坛医院艾滋病病房曾发生护士对艾滋病病人注射后针头掉下来刚好扎在护士脚上，经过1个月、3个月、6个月的艾滋病抗体追踪检测，未发现感染。国外的一项研究统计表明，接触过艾滋病病人血液的注射器刺中正常人有可能传播艾滋病，但是，这种几率太低，即便沾上艾滋病病人的血液的注射器马上刺入健康者的体内，感染的几率也只有0.33%。如果再扩大一下生活范畴，与艾滋病病人或艾滋病病毒携带者共同生活，如握手，共同进餐，共用衣物、床单、毛巾，共用坐便器，共用电话、办公用品和劳动工具，甚至艾滋病患者咳嗽、打喷嚏，与他们拥抱、接吻都不会染上艾滋病。因为艾滋病病毒是一种非常脆弱的病毒，对热和干燥十分敏感，在干燥环境中，病毒10分钟便死亡，在56摄氏度的环境中30分钟灭活。艾滋病病毒对氯化类消毒剂和酯溶剂也很敏感。常用的50%-70%的酒精、11%来苏水、0.1%漂白粉、2%福尔马林均可杀灭艾滋病病毒。换句话说，艾滋病病毒只能在液体中存在。即便艾滋病病毒经唾沫进入口中，也会被胃酸杀死。当公众都知道这些知识时，艾滋病无论是作为拆迁队的武器，还是犯罪分子的工具都有可能被人们识破，从而让艾滋病无法成为武器，更不可能利用这种武器去伤害他人。但是，艾滋病能被人作为武器来使用除了实际生活中艾滋病知识的传播不力外，更在于开发商的膄点子、歪主意，也在于当地管理者与开发商的沆瀣一气。把艾滋病当作武器的做法还会造成对艾滋病误解的后果。当大量居民被艾滋病病人吓跑之后，“狼”就真的来了，而不论这只狼是真狼还是披着狼皮的羊，对艾滋病的防控更容易陷入沼泽。少数几个艾滋病病人组成的拆迁队不仅会毁了自己的名声并延误治疗，也会让所有艾滋病病人和艾滋病病毒感染者背上坏名声，阻碍他们的治疗和正常生活。这就是把艾滋病当作武器既不管用，而且更加有害的原因，因为它当不了艾滋病病人的饭碗，也没法成为开发商和管理者的大餐。张田勘(北京 学者) 
石景山一商业地块土地金逾期未缴,2014/12/31 9:36,北京青年报, 三个月前高价拿下石景山商业地块，但却迟迟不缴纳土地开发补偿费，北京也有拿了地消化不了的案例。日前，北京土地储备中心公告，启迪控股股份有限公司2014年参与北京土地市场竞买活动中，逾期90日以上缴纳土地开发补偿费，予以公告。今年8月21日，启迪控股股份有限公司以10.1亿元获得北京市石景山区香山南路28号地块，楼面价约为1.1万元/平方米。(记者 范辉) 
市住建委紧急通知:全市工地即日起全面停工整改,2014/12/31 9:36,北京青年报, 针对清华附中施工工地坍塌事故，北京市住建委昨日发出紧急通知，要求全市所有工地从即日起全面停工整改，开展施工现场安全质量隐患排查，整改合格确认后方可复工。29日早8时左右，海淀区清华附中A栋体育馆等三项工程在施工地发生坍塌事故，造成10人死亡4人受伤。目前，市政府已成立了事故调查组，对事故的详细情况正在进行进一步的调查。为了吸取事故教训，市住房城乡建设委启动了为期一个月的施工现场安全质量大检查。全市所有工地从即日起全面停工整改，各单位要按照建设工程安全质量标准规范及有关要求全面开展施工现场安全质量隐患排查工作，发现隐患应立即整改，整改合格并由相关负责人及企业法人签字确认后方可复工。此次安全质量检查重点包括：大体量钢筋绑扎、大体积混凝土浇筑、大跨度钢结构及预制混凝土构件安装、危险性较大的分部分项工程(深基坑、模板支撑体系、建筑起重机械等)的施工技术方案、专项施工方案编制审批情况及按方案施工情况等。此外，人员安全教育情况、消防安全管理及可燃物清理情况、预防煤气中毒工作落实情况等其他施工安全质量管理情况也在此次检查范围之内。市建设工程安全质量监督总站将成立专门检查组，对施工现场进行全面督查，切实保证整改落实到位。此外，市住建委要求各区县住房城乡建设委及各建筑施工集团总公司均要成立安全质量检查组，各集团总公司检查应派技术人员参加。同时，各单位要将事故情况传达到每一个企业，每一个工地，每一个班组，每一个安全管理人员，起到安全警示作用。相关新闻清华附中取消元旦联欢会本报讯(记者 林艳)12月29日，清华附中发生坍塌致10人死亡事故。昨天，北京青年报记者了解到，目前学校所有施工地都已停工，有老师透露学校已召集班主任集中开会，要求各班“跟紧学生”，做好后续的安全教育工作。此外，事故当天各班已口头通知，原定于今天举行的元旦联欢会取消，改为全天正常上课。据清华附中的学生透露，事故当天学校对学生设层层安全防护，包括“封锁”教学楼、由老师带全班学生出教室、要求学生中午按规定时间回教室，以及将事故现场附近大部分地方设为“禁区”，包括图书馆等地，都不准学生进入，采取严格的防护措施。昨天，清华附中已恢复正常教学，学生们也正常出操和上体育课。有学生反映，由于明年是学校的百年校庆，学校多个地方在修缮，与此次发生事故的操场同时在施工。事故发生后，学校所有施工项目都已停工。据了解，清华附中昨虽已“解禁”，恢复正常的教学秩序，但学校的门口保卫升级，事故现场附近的行政教学楼，也一直安排保安看守。对于后续的防护措施，清华附中一位老师表示，学校已经召集班主任集中开会，要求各班跟紧学生，做好安全教育。对于元旦联欢会取消一事，师生们表示完全能理解。“必须停办。要还办这热闹的联欢会，对逝去人就不尊重了。”清华附中一位老师表示。据学生们反映，除了取消元旦联欢会之外，学校并没有下发特别的通知和说明，一切教学活动照旧。(记者 赵婷婷) 
2015楼市猜想:政策去行政化 房价难现大幅反弹,2014/12/31 9:56,中国新闻网,&ldquo;今年以来，房地产市场迅速变化。&rdquo; 住建部部长陈政高曾如此概况2014年楼市状况。经历了2013年的&ldquo;狂飙突进&rdquo;，2014年房地产市场调整明显&mdash;&mdash;成交降温、房价回落、投资增速放缓、库存高位运行；调控政策也发生变化，限购松绑、信贷放宽、限价淡化，&ldquo;去行政化&rdquo;趋势日益显现。伴随行业一系列转变，年末翘尾的楼市在2015年走向如何受到业内关注。市场会否稳步回暖？房价是涨是跌？哪些购房惠民政策将出台？行业面临哪些机遇和挑战？2015年，仍有诸多猜想空间。市场猜想：楼市持续分化 成交房价难大幅反弹2014年，无论是成交还是房价走势，都佐证了一年来房地产市场的调整。数据显示，2014年1&mdash;11月份，全国商品房销售面积、销售金额双双同比回落。而新房价格环比下跌城市数量，也从5月份起连续7个月不断增加。二手房价同样明显下调，9月份时，70个大中城市全部环比下跌。中国房地产业协会名誉副会长朱中一在接受中新网房产频道采访时表示，2014年房地产市场已进入&ldquo;新常态&rdquo;，&ldquo;真正步入了增速换档期、结构调整期、政策完善期，以及品质提升期。&rdquo;在不少业内人士看来，这一楼市&ldquo;新常态&rdquo;将在2015年乃至更长时间延续。中原地产首席分析师张大伟认为，今后房地产将难以维持过去十年的高增长，市场分化成为长期趋势，差异化更加突出。随着年末房地产市场回暖迹象的显露，伟业我爱我家集团副总裁胡景晖分析，&ldquo;量增价稳&rdquo;将成为2015楼市主基调。&ldquo;市场大环境将相对宽松，房价的稳定将引导置业升级人群逐步入市，支撑交易量稳步回升。&rdquo;北京理工大学房地产研究所所长周毕文则向中新网房产频道表示，&ldquo;虽在诸多政策利好下，今年年末商品房成交有所回暖，但楼市整体仍处于稳定或下跌趋势之中。&rdquo;明年部分城市、一些地段、某些项目成交将回暖，同时不少城市仍面临去库存难题。而这一&ldquo;分化&rdquo;特点，将在2015年更加明显。对于2015年房价走势，周毕文认为，整体房价将企稳，并不会出现暴涨式反弹，但不排除随行就市地波动。另外，业内预测，房价也面临着&ldquo;分化&rdquo;趋势。&ldquo;从供需关系看来，2015年一二线房价止跌反弹的可能性大，三四线城市则上涨迹象不明显。&rdquo;政策猜想：去行政化明朗 楼市调控步入&ldquo;常态化&rdquo;从年初&ldquo;分类调控&rdquo;得以明确，到&ldquo;限购&rdquo;、&ldquo;限贷&rdquo;、&ldquo;限价&rdquo;等重重枷锁逐步放松、降息等政策推出，再到《不动产登记暂行条例》靴子落地，2014年楼市调控呈现出新转变。在朱中一看来，2014年楼市调控政策逐步&ldquo;常态化&rdquo;，未来房地产政策将更加尊重房地产规律和地区差异性。&ldquo;政策常态化表现在两个方面，一是限购、限贷等&ldquo;行政化&rdquo;手段的退出。另一个是贷款政策的调整，更加倾向于对居民自住型、合理改善型的需求。&rdquo;与此同时，2014年中央经济工作会议连续两年未提&ldquo;楼市&rdquo;，全国住房城乡建设工作会议未涉&ldquo;房地产调控&rdquo;、&ldquo;房价&rdquo;、&ldquo;限购&rdquo;等词汇，均使2015年楼市调控&ldquo;去行政化&rdquo;更加明朗。&ldquo;2015年既不会进一步加强宏观调控，导致楼市持续低迷；也不会出现像08、09年的救市举措，令楼市量价飞涨。&rdquo;胡景晖分析表示。2015年会否有更多住房利好政策推进？基于中央经济工作会议继续实施&ldquo;稳健的货币政策&rdquo;，胡景晖认为，适度降息、降准，以及定向宽松的货币政策，将有可能在2015年进一步出台。牛凤瑞指出，2015年将大量保障房的入市，也将对改善住房问题形成助力。陈政高在全国住房城乡建设工作会议上透露，2015年将继续推进保障性安居工程建设，明年计划新开工700万套，基本建成480万套。另外，随着《不动产登记暂行条例》于2015年3月开始实施，房地产税出台也被认为为时不远。《证券日报》引述财政部财政科学研究所所长刘尚希观点指出，下一阶段房地产税立法将稳步进行，房地产税明年可能实现突破。行业猜想：&ldquo;黄金时代&rdquo;不再 房企转型自救去库存自930房贷新政、央行降息等政策出台以来，冷清的楼市有了些许转暖迹象，多地商品房成交上扬，但这并未扭转房地产行业业绩、利润下滑的趋势。中原地产市场研究部统计数据显示，已公布11月销售业绩的33家上市企业中，超过19家不足85%的企业，已基本不可能完成年度任务。与此同时，大小房企之间的业绩分化也在进一步拉大。以北京为例，北京市第三次全国经济普查结果显示，909家房企资产超10亿，其中9成资产集中于3成房企。&ldquo;居民住房普遍短缺、企业拿地开发就能赚钱的时代已经过去。&rdquo;朱中一如是说。华远集团原董事长任志强也称&ldquo;希望所有企业做好长期的思想准备。&rdquo; SOHO中国董事长潘石屹更感叹房地产地位不如从前，&ldquo;日子一天不如一天，肯定是走下坡路。&rdquo;受迫于今年楼市的下滑，房企拿地节奏大幅放缓，三四线城市土地市场几乎进入冰封期。张大伟表示，从年内20大房企在土地市场表现看，对于2015年楼市发展，房企自身也并不看好。不过，多位业内人士分析，今年以来经济下行、楼市遇冷，正在倒逼房企跟随经济结构一同&ldquo;转型升级&rdquo;。房企进军商业、旅游、养老、海外地产等领域已并不鲜见，更多营销手段&mdash;&mdash;全民营销、电商卖房、房产众筹等花样百出。周毕文指出，房企转型避险趋势在2015年将延续，但能否从中获利，尚处于初期探索阶段。而购房者对房企新型营销模式态度也各异。以房产众筹为例，人们在对低成本买房或投资充满期待的同时，也对于如何监管资金流向、有无相关法律法规保护投资者等问题表示质疑。除此之外，业内认为，目前全国住宅库存总量庞大，库存消化将是一个长期过程，2015年房企在转型之余，仍免不了要继续稳价跑量&ldquo;去库存&rdquo;。朱中一则表示，对于房企来说，未来最应该考虑的，是要客观分析市场供求关系变化，不能跟风。并且要在自身转型的同时，转变发展方式，如着力推进绿色建筑、住宅产业化等。
北京市所有工地全面停工整改,2014/12/31 10:06,北京商报,记者昨日从北京市住建委获悉，为深刻吸取海淀区清华附中A栋体育馆发生坍塌事故的教训，市住建委要求各单位高度重视安全生产工作，并决定进行为期一个月的施工现场安全质量大检查，全市所有工地即日起全面停工整改。 市住建委要求，各单位要按照建设工程安全质量标准规范及有关要求全面开展施工现场安全质量隐患排查工作，发现隐患应立即整改，整改合格并由相关负责人及企业法人签字确认后方可复工。市建设工程安全质量监督总站将成立专门检查组对施工现场进行全面督查，切实保证整改落实到位。此次安全质量检查将重点围绕大体量钢筋绑扎、大体积混凝土浇筑、大跨度钢结构及预制混凝土构件安装、危险性较大的分部分项工程(深基坑、模板支撑体系、建筑起重机械等)的施工技术方案、专项施工方案编制审批情况及按方案施工情况；人员安全教育情况；消防安全管理及可燃物清理情况；预防煤气中毒工作落实情况；其他施工安全质量管理情况等方面展开。
北京再现开发商买地不给钱 启迪逾期未交款被点名,2014/12/31 10:06,北京商报, 在全年土地交易收官之时，又有企业因欠缴费用而遭到官方点名。昨日，北京市国土局官方网站刊登了《关于启迪控股股份有限公司逾期缴纳土地开发补偿费》的公告。启迪也成为继复地之后，因买地欠费而遭到官方点名的第二家企业。市国土局网站的信息显示，启迪在2014年参与北京市土地市场竞买活动中，逾期90日以上缴纳土地开发补偿费，因此遭遇公开点名。据查，启迪于今年8月20日的土地竞拍中，竞得石景山区的一宗商业金融用地，成交价格为10.1亿元，这也是启迪自2007年以来的第一次拿地。土地开发补偿费指的是乙方向甲方支付的对甲方进行该宗地块开发建设所发生的前期费用、拆迁费用、工程费用、管理费用以及资金利息等土地一级开发费用的补偿。按照市国土局的相关规定，在北京土地交易市场中未按期缴纳该笔费用的企业将被暂停参与土地竞买活动直至完成缴纳工作；如逾期缴纳土地开发建设补偿费超过90天以上的将予以网上公告，并暂停该企业及其股东和子公司参与土地竞买活动等处理。昨日北京商报记者通过启迪官方电话向该公司询问逾期缴纳土地开发补偿款的原因，但是该集团工作人员以下班为由未予以说明。业内猜测，逾期缴纳费用最有可能的理由就是资金短缺。启迪官网介绍，该公司成立于2000年，是一家依托于清华大学设立的综合性大型企业，是清华控股旗下四家企业之一。其主要业务有地产、金融、实业、酒店、传媒等。其中科技地产是启迪的主营业务板块，负责开发、建设及管理科技园区，目前在江苏、北京、广东省均有项目。知情人士透露，北京市此前曾经对土地出让金进行过全面清算，对于一些欠缴土地出让金及相关费用的开发商进行通报，包括此前的复地、此次的启迪均位列名单。(记者 齐琳 阿茹汗) 
在股权交易纠纷解决后 绿城携手九龙仓杭州拿地,2014/12/31 10:06,北京商报,在股权交易纠纷解决后，绿城集团快马加鞭与集团大股东九龙仓携手在杭州拿下了一幅地块，合作双方还在杭州成立了项目公司，以共同开发该项目。根据绿城12月29日晚间的公告，当天绿城附属公司与九龙仓附属公司联手以总价4.805亿元竞得杭州萧山区北干街道城北村一宗居住用地。双方将按50：50拥有权比例共同开发上述地块。为了共同开发该地块，双方还成立了杭州绿城九龙仓置业有限公司，双方各自拥有项目公司50%的股权，绿城将负责项目管理事宜，九龙仓将负责财务及会计管理事务。融创与绿城共同设立的上海融绿平台归属还未敲定之时，绿城与九龙仓联手拿地被业内猜测为绿城或无法维持对上海融绿平台的投资，因而选择与九龙仓谋求新的发展平台。对此，绿城集团媒体对接人昨日向北京商报记者否认了该说法，&ldquo;绿城与九龙仓设立的合营公司只是普通项目公司，与上海融绿的平台公司有根本区别，绿城此前在杭州萧山区也有与九龙仓共同开发项目的经历，此前只是九龙仓先拿地，绿城后入股。这一次只是双方在拿地时就开始合作了&rdquo;。 业内人士进而指出，绿城之所以选择九龙仓合作拿地，一方面是因为双方之间合作多，会在项目运营上更加默契，而另一方面九龙仓低成本的资金优势，将对绿城开发低周转项目有利。(记者 齐琳 阿茹汗)
不动产登记实施细则形成草案 信息平台半年后上线,2014/12/31 10:07,21世纪经济报道,距离《不动产登记暂行条例》(下称&ldquo;条例&rdquo;)正式实施还剩3个月时间，国土部如今正在紧张筹备不动产登记条例实施前的准备工作。记者自国土部等多个参与实施细则起草的专家处获悉，由国土部地籍司和国土部法律中心起草的《不动产登记暂行条例实施细则》(下称&ldquo;实施细则&rdquo;)已经形成初稿，目前正在征求意见阶段。据一位参与起草实施细则的知情人士介绍，细则是基于《条例》的配套政策，确保条例能够顺利实施，进一步细化了登记类型、程序、各类不动产物权登记的要求，登记机构和人员职责等，亦明确和统一不动产登记卡簿册和证书式样内容，规范不动产权籍调查的要求等。查询流程进一步细化12月22日，国务院发布《不动产登记暂行条例》并明确自2015年3月1日起执行。国土部不动产登记局局长王广华介绍，《条例》是不动产登记的顶层设计，根据《条例》，国土部将抓紧做好相关的配套实施细则，确保《条例》能够顺利实施。与此同时，地方也要同步推动地方性法规、规章和规范性文件的研究制定工作。多位参与细则起草的专家以及国土部法律中心人士告诉21世纪经济报道记者，由国土部法律中心，国土部地籍司主要参与起草的实施细则已经形成初稿。以备受关注的&ldquo;查询&rdquo;为例，《条例》虽然严卡&ldquo;以人查房&rdquo;，但亦明确了可依法提供查询服务。权利人、利害关系人可以依法查询、复制不动产登记资料，不动产登记机构应当提供。有关国家机关可以依照法律、行政法规的规定查询、复制与调查处理事项有关的不动产登记资料。查询不动产登记资料的单位、个人应当向不动产登记机构说明查询目的，不得将查询获得的不动产登记资料用于其他目的；未经权利人同意，不得泄露查询获得的不动产登记资料。前述参与实施细则起草的国土部人士介绍，实施细则特设一章为登记资料的查询、保护和利用，对依法查询登记资料进行细化，不动产交易、互换、赠与等涉及的利害关系人有权查询相关不动产登记结果，且在查询时需要提交身份证明和申请书。社会公众可以查询不动产登记簿记载的自然状况部分信息，但涉及国家秘密和依法受到保护的商业秘密、个人隐私除外；在查询不动产登记资料时，需要提供身份证明和申请书，受权利人委托查询，必须出具取得不动产权利人同意的证明文件。人民法院、人民检察院、国家安全机关、公安机关和纪检监察机关有权查询与调查、处理案件有关的不动产登记结果和不动产登记原始登记资料，不过在查询不动产登记资料时，需要提交本单位出具的查询证明。前述国土部人士强调，实施细则目前仍处于研讨阶段，将进一步完善修改。信息基础平台半年后上线除了制定并出台可执行的实施细则，不动产登记信息基础平台的建设也是《条例》落地前期准备的重要一环。王广华曾表示，计划在2015年7月上线试运行信息平台，陆续完成不动产登记操作系统软件与信息平台的对接，提供不动产登记信息查询服务。2014年12月24日，国土部副部长、不动产统一登记工作领导小组组长胡存智主持召开领导小组第三次会议，研究《不动产登记信息管理基础平台建设需求方案》(下称《方案》)。《方案》明确，不动产登记信息管理基础平台建设，将充分利用现有国土资源信息化和相关部门不动产登记信息化基础，集成整合目前分散在各部门的不动产登记数据，建成覆盖全国的不动产登记数据库。明确不动产登记信息管理基础平台将采用云架构设计，充分考虑拓展需求，最终与&ldquo;国土资源云&rdquo;融合。胡存智要求，不动产登记信息平台建设不搞&ldquo;推掉一套、重建一套&rdquo;，而是按照统分结合的原则，建立机制，明确标准，集成整合，最终建成标准统一、内容全面、全国一体、互联互通的不动产登记信息管理基础平台，实现信息共享应用。胡存智亦表示，《方案》在进一步修改完善后要尽早提交部长办公会审议。王广华提出，在信息平台投入运行前，各地要全面清理和整理不动产登记历史资料，按照国家统一制定的数据库标准和数据整合建库技术规程，对本地区土地、房屋、林地、草原、海域存量登记数据进行整合，建立关联关系，健全完善不动产登记信息数据库。信息平台投入运行后，王广华称，各地应根据当地信息化工作基础，提早对各类不动产登记操作系统软件进行融合、对接，形成统一发证的业务操作系统软件，支持与本级国土、住建、农业、林业、海洋等部门的业务协同，提供本级登记信息查询服务，并按照信息平台统一技术要求，预留接口，做好准备，一旦成熟，及时接入信息平台，并将本地区日常不动产登记信息实时纳入信息平台。
一线城市率先复苏 多家机构看好地产股,2014/12/31 10:26,每日经济新闻,"尽管上证指数依然在新高附近&ldquo;徘徊&rdquo;,但中小市值个股连续下跌,给接下来的走势蒙上了一层阴影。尤其是昨日,有近800只个股跌幅超过3%。&ldquo;二八&rdquo;风格是否还会延续,尤其是市场热炒的各类&ldquo;大主题&rdquo;何时才会调整?近期广发证券对此进行了专项研究。大市风向/大主题何时结束看四信号&ldquo;目前A股市场的风格就是如此鲜明:低估值大盘蓝筹股。市场的三观与年初相比,已是换了人间。作为A股市场中的一员,投资者需要顺应,也只能顺应。&rdquo;广发证券对于目前的市场风格如是解读。同时,该机构认为近期&ldquo;能够提供显著赚钱效应的主题数量进一步减少&rdquo;,比如只有银行等少量主题才有明显的赚钱效应。广发证券分析指出,&ldquo;由于强者恒强,百花齐放的格局不再,非强势主题出现较强表现的门槛也上升了。因此对投资者来说,更重要的是判断强势主题何时真正终结,在其真正终结时把握其波段行情,而不是寻找新主题。目前来看,(产生)大级别的新主题不是那么容易。当然我们期待明年关于&lsquo;十三五&rsquo;规划能够提供一些新主题。一个强势的大主题何时真正终结,我们认为,一般来说需要出现以下四种情形:该主题最强利好催化剂兑现(预期空间被封,无法再次上提),该主题被利空证伪或者严重削弱,该主题被另一个新的大主题所替代(尤其是存量资金行情下),该主题遭遇市场整体的系统性风险。&rdquo;广发证券还认为,包括&ldquo;一带一路&rdquo;、京津冀、上海板块等大主题催化剂依旧没有结束。市场关注度:★★★★★驱动周期:中长期重点关注:新的大主题诞生行业热点/◎一线城市率先复苏多家机构看好地产股近期房地产板块活跃度明显提升,除了板块轮动外,多家机构认为房地产基本面近期的改善更加值得关注,尤其是近期的成交量。2014年第52周,一线四大城市房地产成交面积236万平方米,环比升42%;部分二线城市房地产成交422万平方米,环比升10%,整体成交环比增幅继续扩大。广发证券研报指出,房地产行业基本面继续复苏,投资逻辑顺畅。该机构表示,目前行业政策持续友好,地方政府推动支持政策继续跟进。信贷方面,一、二线城市房贷利率出现普降,尤其是一线城市下调幅度较大。政策环境的持续改善,推动成交保持较大幅度的修复,一线城市率先复苏。截至12月26日,67个城市提前实现了单季度(第四季度)同比转正,同比微增4.7%。广发证券认为,根据历史经验,在降息以及基本面呈现价跌量升的情况下,地产板块是可以获得相对较好的相对或绝对收益的,在未来一个季度内房地产投资逻辑顺畅。对此,华融证券认为,2014年房地产板块上涨58.17%(截至12月22日),走势强于大盘。全年行业基本面处于探底阶段,上涨主要受政策驱动。未来市场化机制有望促使行业步入良性发展轨道。申银万国研报也指出,房地产行业销售恢复明显,政策利好不断,建议优先配置地产蓝筹,维持行业处于&ldquo;降息周期、销售恢复期和政策边界突破期&rdquo;三期叠加阶段的看法,且地产行业目前具有&ldquo;低估值、低配置&rdquo;的优势。重点关注地产蓝筹龙头、自贸区、园区转型等投资机会。推荐的个股包括,地产蓝筹:保利、招商、万科、金丰(绿地);自贸区扩围:张江高科(上海,叠加园区升级),招商(深圳,蛇口纳入),泰禾集团(福州),格力地产(珠海);销售恢复及二线转型:中天城投(互联网金融)、金科(高送转,新能源)、冠城大通、中南建设。市场关注度:★★★★★驱动周期:中短期重点关注:地产销量改善情况◎机构看好工业4.0工业4.0是最近市场涌现出的少有的新主题,机构的关注度一直未减。近期,中信证券组织了工业4.0的电话会议,邀请美国IHS首席分析汤洁与投资者进行了交流。工业4.0最主要的框架是信息物理系统CPS,核心是将原来自动化的元器件、工业以太网、数据分析建模仿真等技术进行系统化整合,是一种组合式的创新。工业4.0拥有产品制造过程中所必须的数据,使网络化的生产设备也加入到价值创造的过程中。生产设备具有一定的智能,根据不同需求自动调整生产次序,实现柔性的制造系统,满足个性化的生产需求。中信证券表示,传统制造业太关注硬件,目前许多仿真的功能技术都已存在,应用也很成熟,但没有一套软件可以把这些技术整合应用到某一行业。以汽车行业为例,如果能打造一个全新软件平台,设计环节的每一个工艺参数就可自动生成,转换成机器参数映射到机器的存储器或控制器里,就可大大缩短研发或交付时间。中国的工业4.0节点已经到来。首先看技术,工业4.0很多在软件层、IT系统架构上重新组合,国内一直较有优势;二是中国市场大,小批量、多批次需求在中国越来越明显;三是国内机器装备产能过剩,庞大的保有量适宜企业转型服务。国海证券以自上而下的路径,选出了国家政策鼓励、行业空间大、能跨越低迷经济周期的工业化4.0三大子行业,具体包括机器人、航空装备、民生装备。同时国海证券还从&ldquo;管理、技术、壁垒、财务&rdquo;四个维度选出了具体个股:机器人板块的博实股份、蓝英装备;航空装备板块的威海广泰和日发精机;民生装备板块的斯莱克、广东鸿图。市场关注度:★★★★★驱动周期:中长期重点关注:机器人产业政策支持力度"
