V1,V2
3,4
4,3
4,9
4,12
7,48
7,49
7,9
7,8
7,14
7,37
8,7
8,37
9,4
9,7
10,30
11,30
11,45
12,4
12,75
12,13
13,12
13,75
14,7
15,17
15,49
15,48
16,49
17,15
17,50
17,45
17,48
21,31
21,35
24,36
24,32
25,28
26,74
28,25
29,36
29,31
30,11
30,10
31,21
31,29
31,35
31,36
32,24
32,36
34,52
34,54
34,51
34,66
34,36
34,56
35,31
35,21
36,24
36,29
36,31
36,32
36,34
37,7
37,8
45,11
45,17
48,7
48,15
48,17
49,7
49,15
49,16
49,50
50,17
50,49
51,34
52,34
52,53
53,52
53,54
54,55
54,53
54,56
54,34
54,57
54,58
54,59
54,60
54,61
54,62
54,63
54,64
54,65
55,54
56,54
56,81
56,34
57,54
58,54
59,54
60,54
60,65
61,54
62,54
63,54
64,54
65,54
65,60
66,67
66,68
66,69
66,70
66,71
66,72
66,73
66,74
66,75
66,76
66,77
66,78
66,79
66,80
66,81
66,82
66,83
66,84
66,85
66,86
66,87
66,88
66,89
66,90
66,91
66,92
66,93
66,94
66,95
66,96
66,97
66,98
66,99
66,100
66,34
67,66
67,71
67,75
68,66
68,71
69,66
70,66
70,82
71,66
71,68
71,84
71,82
71,86
71,91
71,76
71,67
72,66
73,66
74,66
74,26
75,66
75,12
75,13
75,82
75,67
76,66
76,71
77,66
78,66
78,79
79,66
79,82
79,88
79,78
80,66
81,66
81,56
82,66
82,70
82,71
82,75
82,79
82,89
82,85
83,66
84,66
84,71
85,66
85,82
86,66
86,71
87,66
88,66
88,79
89,66
89,82
90,66
91,66
91,71
92,66
93,66
94,66
95,66
96,66
97,66
97,98
97,99
98,66
98,97
98,99
99,66
99,98
99,97
99,100
100,66
100,99
